"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"117597003","0","Southern Tioga SD","310 Morris Street",,"Blossburg","PA","16912",,"41.679727","-77.063909","http://www.southerntioga.org",,"POINT (-77.063909 41.679727)"
"109246003","6805","Ridgway Area MS","1403 Hill St",,"Ridgway","PA","15853",,"41.43340668","-78.71886549","http://www.rasd.us","6,7-8","POINT (-78.71886549 41.43340668)"
"112671803","0","Dover Area SD","101 Edgeway Road",,"Dover","PA","17315",,"40.000255","-76.850685","http://www.doversd.org",,"POINT (-76.850685 40.000255)"
"103028853","0","Sto-Rox SD","298 Ewing Rd",,"McKees Rocks","PA","15136",,"40.48372","-80.090323","http://www.srsd.k12.pa.us",,"POINT (-80.090323 40.48372)"
"101301403","6010","Miller MS","126 E Lincoln St",,"Waynesburg","PA","15370","1997","39.89345154","-80.18498266","http://www.cgsd.org","8-Jul","POINT (-80.18498266 39.89345154)"
"121135003","0","Jim Thorpe Area SD","1100 Center St",,"Jim Thorpe","PA","18229",,"40.867184","-75.744031","http://www.jimthorpesd.org",,"POINT (-75.744031 40.867184)"
"112672803","4571","Hanover SHS","401 Moul Ave",,"Hanover","PA","17331","1541","39.82209659","-76.96802986","http://www.hpsd.k12.pa.us","12-Aug","POINT (-76.96802986 39.82209659)"
"113384307","0","Lebanon County CTC","833 Metro Drive",,"Lebanon","PA","17042","9159","40.341983","-76.396263","http://www.lcctc.edu",,"POINT (-76.396263 40.341983)"
"106617203","0","Titusville Area SD","301 E Spruce St",,"Titusville","PA","16354",,"41.630714","-79.668578","http://www.gorockets.org",,"POINT (-79.668578 41.630714)"
"103026402","250","Jefferson El Sch","11 Moffett St",,"Pittsburgh","PA","15243","1199","40.381528","-80.060398","http://www.mtlsd.org","K5H,1-5","POINT (-80.060398 40.381528)"
"116191103","0","Berwick Area SD","500 Line St",,"Berwick","PA","18603","3325","41.06659","-76.222644","http://www.berwicksd.org",,"POINT (-76.222644 41.06659)"
"203027365","0","Blessed Trinity Academy","2510 Middle Road",,"Glenshaw","PA","15116",,"40.55531","-79.932011","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.932011 40.55531)"
"115212503","1707","East Pennsboro Area SHS","425 W Shady Ln",,"Enola","PA","17025","2242","40.29683836","-76.94063647","http://www.epasd.org","12-Sep","POINT (-76.94063647 40.29683836)"
"102027451","7884","Pittsburgh Sunnyside K-8","4801 Stanton Avenue",,"Pittsburgh","PA","15201","1627","40.480649","-79.934795","http://www.pghschools.org/","PreKF,K5F-6,7-8","POINT (-79.934795 40.480649)"
"110183602","7795","Bucktail Area MS","1300 Bucktail Avenue",,"Renovo","PA","17764","1424","41.336129","-77.708931","http://www.kcsd.k12.pa.us/","5-6,7-8","POINT (-77.708931 41.336129)"
"123460957","0","Central Montco Technical High School","821 Plymouth Road",,"Plymouth Meeting","PA","19462","2575","40.124512","-75.31503","http://www.cmths.org",,"POINT (-75.31503 40.124512)"
"115210503","7951","Mount Rock Elem Sch","47 Mount Rock Rd",,"Newville","PA","17241",,"40.174216","-77.384198","http://www.bigspringsd.org","K5F-5","POINT (-77.384198 40.174216)"
"113381303","4800","Cedar Crest HS","115 E Evergreen Rd",,"Lebanon","PA","17042","7596","40.31121101","-76.39863749","http://www.clsd.k12.pa.us","12-Sep","POINT (-76.39863749 40.31121101)"
"120480002","0","Lehigh Valley Academy Regional CS","1560 Valley Center Parkway","Suite 200","Bethlehem","PA","18017","2276","40.653517","-75.408636","http://www.lvacademy.org",,"POINT (-75.408636 40.653517)"
"212675603","0","Pleasant Hill Christian School","9002 Orchard Rd",,"Spring Grove","PA","17362","8651","39.8825","-76.917962","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.917962 39.8825)"
"213360001","0","Sycamore Amish Parochial School","590 Weaver Road",,"Strasburg","PA","17579",,"39.94922","-76.180998","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.180998 39.94922)"
"112015203","14","Littlestown SHS","200 E Myrtle St",,"Littlestown","PA","17340","1339","39.7506769","-77.08474528","http://www.lasd.k12.pa.us","12-Sep","POINT (-77.08474528 39.7506769)"
"126515001","7239","Cooke Jay MS","1300 W Louden St",,"Philadelphia","PA","19141","2603","40.02554068","-75.14604078","http://www.philasd.org","K5F-6,7-8","POINT (-75.14604078 40.02554068)"
"226518422","0","St Laurentius School","1612 E Berks St",,"Philadelphia","PA","19125","2804","39.975787","-75.128066","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.128066 39.975787)"
"103024102","157","Evergreen El Sch","3831 Evergreen Dr",,"Monroeville","PA","15146","1219","40.445289","-79.771819","http://www.gatewayk12.org","K5F-4","POINT (-79.771819 40.445289)"
"119350303","7570","Clarks Summit El Sch","401 W Grove St",,"Clarks Summit","PA","18411","2025","41.490263","-75.702949","http://www.ahsd.org","K5H,1-4","POINT (-75.702949 41.490263)"
"119586503","0","Susquehanna Community SD","3192 Turnpike St.",,"Susquehanna","PA","18847","9504","41.951172","-75.59068","http://www.scschools.org",,"POINT (-75.59068 41.951172)"
"926510006","0","Free Library of Philadelphia","1901 Vine St",,"Philadelphia","PA","19103","1189","39.9596635","-75.1710457","http://www.freelibrary.org",,"POINT (-75.1710457 39.9596635)"
"115227871","0","Reach Cyber CS","750 East Park Drive","Suite 204","Harrisburg","PA","17111",,"40.271512","-76.813639","http://www.connectionsacademy.com/reach-cyber-school",,"POINT (-76.813639 40.271512)"
"105253903","0","General McLane SD","11771 Edinboro Rd",,"Edinboro","PA","16412","1025","41.915123","-80.124936","http://www.generalmclane.org",,"POINT (-80.124936 41.915123)"
"120000000","0","Colonial IU 20","6 Danforth Drive",,"Easton","PA","18045","7820","40.73296","-75.263954","http://www.ciu20.org",,"POINT (-75.263954 40.73296)"
"211440895","0","Locust Hill Amish School","64 Locust Hill Lane",,"Milroy","PA","17063",,"40.737436","-77.570029","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.570029 40.737436)"
"117089003","8175","Wyalusing Valley El Sch","11450 Wyalusing-New Albany Rd",,"Wyalusing","PA","18853",,"41.6566485","-76.25300094","http://www.wyalusingrams.com","K5F-6","POINT (-76.25300094 41.6566485)"
"322090079","0","Montessori Community School","6 Penns Trail",,"Newtown","PA","18940",,"40.23045","-74.909171","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-74.909171 40.23045)"
"103026852","6603","Hosack El Sch","9275 Peebles Rd",,"Allison Park","PA","15101","1926","40.57414553","-80.00231854","http://www.northallegheny.org","K5H,1-5","POINT (-80.00231854 40.57414553)"
"108111203","1199","Cambria Heights MS","414 Glendale Lake Rd","PO Box 216","Patton","PA","16668","6803","40.63346742","-78.62948494","http://www.chsd1.org","6,7-8","POINT (-78.62948494 40.63346742)"
"112672203","7439","Eastern York MS","746 Cool Creek Rd",,"Wrightsville","PA","17368",,"39.9950624","-76.5377352","http://www.easternyork.com","6,7-8","POINT (-76.5377352 39.9950624)"
"115218303","8402","Iron Forge El Sch","4 Academy Street, Suite 200",,"Boiling Springs","PA","17007","9523","40.152012","-77.136864","http://www.smsd.us","5-Mar","POINT (-77.136864 40.152012)"
"108111303","6646","Cambria El Sch","212 Schoolhouse Rd",,"Ebensburg","PA","15931","7617","40.489809","-78.739598","https://www.cencam.org/","K5F-5","POINT (-78.739598 40.489809)"
"213360044","0","Waterloo Amish School","509 Woleber Road",,"Myerstown","PA","17067",,"40.029977","-75.953115","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.953115 40.029977)"
"923460664","276","Penn Wynne Library","130 Overbrook Parkway",,"Wynnewood","PA","19096","3211","39.9836355","-75.2749304","http://www.lmls.org",,"POINT (-75.2749304 39.9836355)"
"300028890","0","University School","5711 Howe St",,"Pittsburgh","PA","15232",,"40.45146","-79.930261","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-79.930261 40.45146)"
"102027451","8106","Pittsburgh CAPA 6-12","111 9th St",,"Pittsburgh","PA","15222",,"40.444738","-79.998741","http://www.pghschools.org/","6,7-12","POINT (-79.998741 40.444738)"
"213365782","0","Pleasant Grove School","121 Lesal Road",,"Gordonville","PA","17529",,"40.040966","-76.050299","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.050299 40.040966)"
"127041203","7823","Dutch Ridge El Sch","2220 Dutch Ridge Road",,"Beaver","PA","15009","1004","40.71679227","-80.34477562","http://www.basd.k12.pa.us","6-Mar","POINT (-80.34477562 40.71679227)"
"115227010","8278","Capital Area School for the Arts CS","150 Strawberry Square",,"Harrisburg","PA","17101",,"40.259907","-76.882766","http://www.casa-arts.org/","12-Sep","POINT (-76.882766 40.259907)"
"210140003","0","Hill Side School","6277 Brush Valley Rd",,"Rebersburg","PA","16872",,"40.96361","-77.372731","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-77.372731 40.96361)"
"123466303","3336","West Pottsgrove El Sch","25 Grosstown Rd",,"Stowe","PA","19464","2398","40.25076293","-75.68543793","http://www.pgsd.org/","K5F-2","POINT (-75.68543793 40.25076293)"
"109420803","3092","Floyd C Fretz MS","140 Lorana Ave",,"Bradford","PA","16701","1831","41.967047","-78.619975","http://www.bradfordareaschools.org","6,7-8","POINT (-78.619975 41.967047)"
"115226103","0","Millersburg Area SD","799 Center St",,"Millersburg","PA","17061","1420","40.542167","-76.95165","http://www.mlbgsd.k12.pa.us",,"POINT (-76.95165 40.542167)"
"226518332","0","St Katherine of Siena School","9738 Frankford Ave",,"Philadelphia","PA","19114","2815","39.994173","-75.264956","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.264956 39.994173)"
"225239002","0","Agnes Irwin School","Ithan & Conestoga Ave",,"Rosemont","PA","19010","0","40.028531","-75.350296","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.350296 40.028531)"
"126515001","3717","Lingelbach Anna L Sch","6340 Wayne Ave",,"Philadelphia","PA","19144","3113","40.03744562","-75.18976655","http://www.philasd.org","K5F-6,7-8","POINT (-75.18976655 40.03744562)"
"300460220","0","Armenian Sisters Academy","440 Upper Gulph Road",,"Radnor","PA","19087",,"40.05503","-75.407041","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.407041 40.05503)"
"129543392","0","SCI-Frackville","1111 Altamont Blvd",,"Frackville","PA","17931","2699","40.774785","-76.223077","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.223077 40.774785)"
"126515001","3732","Barton Clara Sch","4600 Rosehill St",,"Philadelphia","PA","19120","4446","40.02047143","-75.11950259","http://www.philasd.org","K5F-2","POINT (-75.11950259 40.02047143)"
"128030852","6577","Shannock Valley El Sch","210 Cowanshannock Avenue",,"Rural Valley","PA","16249",,"40.80075822","-79.31731338","http://svs.asd.k12.pa.us","K5H-6","POINT (-79.31731338 40.80075822)"
"124153503","1422","Great Valley MS","255 North Phoenixville Pike",,"Malvern","PA","19355","3071","40.05902861","-75.56455206","http://www.gvsd.org","6,7-8","POINT (-75.56455206 40.05902861)"
"124156503","1414","Octorara Area JSHS","226 Highland Rd",,"Atglen","PA","19310","1642","39.929502","-75.945288","http://www.octorara.k12.pa.us/","12-Jul","POINT (-75.945288 39.929502)"
"123467103","8062","Indian Crest MS","139 Harleysville Pike",,"Souderton","PA","18964","2095","40.315158","-75.335805","http://www.soudertonsd.org","6,7-8","POINT (-75.335805 40.315158)"
